Sta3n|LabChemTestName|LabChemTestSID|Topography|TopographySID|LOINC|Units|Mean|std|Min|Max|Perc_05|Perc_25|Median|Perc_75|Perc_95|Count
437|.WBC (MINOT AFB)DC 6/8/10|1000079329|BLOOD|1000000579|6690-2|K/cmm|7.4082|3.0401|1.5|88.3|4.4|5.8|7.0|8.4|11.5|3758
402|WBC|1400000015|BONE MARROW|1400041726|||20.5||20.5|20.5|20.5|20.5|20.5|20.5|20.5|1
402|WBC|1400000015|PLEURAL FLUID|1400002067|808-6||190.0||190.0|190.0|190.0|190.0|190.0|190.0|190.0|1
402|WBC|1400000015|CEREBROSPINAL FLUID|1400002001|806-0|#/cmm|19.0333|94.0486|0.0|585.0|0.0|0.0|0.0|2.0|26.5|39
402|WBC|1400000015|BLOOD|1400001893|6690-2||7.3031|2.7411|3.2|15.0|4.12|5.6|6.55|8.525|12.95|32
402|WBC|1400000015|RIGHT KNEE|1400062222|||6500.0|8202.4387|700.0|12300.0|1280.0|3600.0|6500.0|9400.0|11720.0|2
402|WBC|1400000015|LEFT SHOULDER|1400232904|||101250.0||101250.0|101250.0|101250.0|101250.0|101250.0|101250.0|101250.0|1
402|WBC|1400000015|PLEURAL FLUID|1400002067|807-8|#/cmm|500.0||500.0|500.0|500.0|500.0|500.0|500.0|500.0|1
402|WBC|1400000015|PLEURAL FLUID|1400002067|808-6|WBC/uL|498.6429|670.1393|42.0|2550.0|58.9|120.0|267.0|631.25|1607.5|14
402|WBC|1400000015|ELBOW|1400046457|||3699.0||3699.0|3699.0|3699.0|3699.0|3699.0|3699.0|3699.0|1
402|WBC|1400000015|CEREBROSPINAL FLUID|1400002001|806-0|WBC/uL|2.6|6.168|0.0|20.0|0.0|0.0|0.5|1.75|11.9|10
402|WBC|1400000015|PERITONEAL FLUID|1400002040|26468-9|#/cmm|1829.3922|4454.2588|10.0|25050.0|14.0|67.5|250.0|1100.0|8950.0|51
402|WBC|1400000015|PERITONEAL FLUID|1400002040|810-2|WBC/uL|945.7778|1166.8574|0.0|3375.0|15.2|96.0|506.0|1540.0|2865.0|9
402|WBC|1400000015|SYNOVIAL FLUID|1400002102|26469-7|#/cmm|9180.1968|20979.8517|0.0|165000.0|18.0|200.0|875.0|7237.5|47925.0|188
402|WBC|1400000015|HAND|1400030852|||27013.5|38164.6743|27.0|54000.0|2725.65|13520.25|27013.5|40506.75|51301.35|2
402|WBC|1400000015|BRONCHIAL WASHING CYTOLOGIC MATERIAL|1400001357|||350.0||350.0|350.0|350.0|350.0|350.0|350.0|350.0|1
